title,rating,review_counts,publication_house,author,publishing_date,copies_sold
The Chance Chronicles 5,2.66,49090,Pena LLC Publications,Dustin Barber,2021-01-23,186911
The Do Chronicles 4,3.39,16802,Ferrell and Sons Publications,Thomas Waters,2022-09-05,373639
The According Chronicles 1,4.74,7465,Lopez-Jones Publications,Antonio Crane,2023-02-27,636637
The Well Chronicles 1,4.29,11749,Nguyen Inc Publications,Stephanie Smith,2021-04-25,989555
The Explain Chronicles 2,3.58,38661,Moore LLC Publications,Jose Young,2016-10-18,748602
The Star Chronicles 4,4.73,11739,Young-Johnson Publications,Dan Pham,2022-04-23,957686
The Trade Chronicles 2,4.49,40220,Walker-Parks Publications,Timothy Wells,2018-04-07,418024
The Image Chronicles 3,3.87,6413,Tucker and Sons Publications,Craig Ayala,2018-02-15,373509
The Machine Chronicles 1,3.26,47010,Cruz PLC Publications,Allen Spence,2024-03-21,300649
The What Chronicles 4,4.91,30933,Young-Johnson Publications,Thomas Waters,2024-04-22,816857
The Listen Chronicles 4,2.89,46927,"Harris, Davis and Stevenson Publications",Jennifer Brown,2024-01-22,488995
The Minute Chronicles 2,3.61,23583,"Schroeder, Moore and Allen Publications",Stacy Gutierrez,2021-04-10,763716
The Owner Chronicles 3,2.66,22976,Austin LLC Publications,Barbara Benson,2022-02-28,992409
The Throughout Chronicles 2,2.93,3540,Ramos-Walker Publications,Brian Rivera,2025-04-23,299152
The Staff Chronicles 5,4.17,8996,Austin LLC Publications,Mary Smith,2016-09-14,7174
The Think Chronicles 3,2.99,22461,Martin Inc Publications,Antonio Crane,2016-05-20,293785
The Later Chronicles 1,2.98,5347,"Green, Castillo and Rowe Publications",Larry Lewis,2017-04-27,112505
The Source Chronicles 4,4.79,24214,Patterson-Potter Publications,Jose Young,2024-09-10,70831
The Special Chronicles 3,2.8,6720,Smith Ltd Publications,Mathew Martin,2023-08-24,610992
The Well Chronicles 3,4.4,43016,Gilbert-Robinson Publications,Jerry Brown,2018-04-13,423913
The Expert Chronicles 5,4.4,14301,Joseph-Gonzalez Publications,Joshua White,2024-10-31,140268
The Impact Chronicles 5,4.69,17744,Reyes-Carter Publications,Andrew Carlson,2025-05-10,780337
The West Chronicles 4,3.25,26708,Moore-Potter Publications,Cody Thomas,2021-12-30,212675
The As Chronicles 3,3.43,16810,Ortega-Brandt Publications,Katelyn Smith,2022-08-26,312365
The Alone Chronicles 1,3.97,31405,"Taylor, Murphy and Watkins Publications",Thomas Waters,2022-11-28,167169
The Tonight Chronicles 5,3.04,9878,"Schroeder, Moore and Allen Publications",Matthew Brooks,2018-10-13,88493
The Sing Chronicles 2,3.42,19665,Walker-Parks Publications,Arthur Nunez,2019-08-29,658098
The May Chronicles 3,3.16,40066,Sanders PLC Publications,Donna Miller,2019-07-03,825346
The Figure Chronicles 2,3.37,41467,"Reese, Tate and Mann Publications",Brian Alvarado,2018-10-09,680778
The Sit Chronicles 3,4.93,10114,Young-Johnson Publications,James Rivera PhD,2023-05-18,159712
The Part Chronicles 1,4.43,28352,Gilbert-Robinson Publications,Vickie Peters,2020-12-20,336759
The Wonder Chronicles 1,2.54,16619,Sanders PLC Publications,Dan Pham,2017-12-21,187964
The Alone Chronicles 3,4.03,14230,"Green, Castillo and Rowe Publications",Willie Cline,2022-08-29,615743
The Economy Chronicles 3,2.68,2881,Walker-Parks Publications,Christine Jackson,2020-07-11,579629
The Report Chronicles 5,4.65,38548,Nguyen Inc Publications,Cynthia Garcia,2022-07-13,807097
The Reflect Chronicles 1,3.27,17697,"Reese, Tate and Mann Publications",Marissa Morgan,2019-11-12,103973
The Where Chronicles 4,3.59,5776,Lopez-Jones Publications,Nicholas Harris,2023-06-12,539573
The Learn Chronicles 2,4.82,9410,Nguyen Inc Publications,Connie Wise,2025-01-25,302268
The Game Chronicles 4,4.64,14834,Reyes-Carter Publications,Timothy Wells,2023-12-18,839592
The Light Chronicles 2,3.28,17555,Joseph-Gonzalez Publications,Maria Evans,2016-11-14,812471
The Money Chronicles 5,4.26,3463,Walker-Parks Publications,Anita Andrade,2023-01-04,581746
The Rate Chronicles 3,3.83,34007,Peters Group Publications,Kristen Cantrell,2025-08-14,754910
The Challenge Chronicles 1,4.97,4343,Ferrell and Sons Publications,Mary Smith,2021-04-06,691389
The Though Chronicles 3,4.85,19313,Reyes-Carter Publications,Mark Martin,2017-05-06,854491
The Hold Chronicles 4,3.71,21442,Cabrera-Eaton Publications,James Ayala,2018-06-08,765782
The Well Chronicles 5,3.61,48772,Moore-Potter Publications,Scott Ortiz,2022-07-09,939368
The Your Chronicles 4,2.66,6020,Pena LLC Publications,Cheryl Reyes MD,2023-02-21,355021
The North Chronicles 2,3.5,14429,Matthews-Johnson Publications,Lisa Henderson,2022-11-16,144932
The Game Chronicles 3,3.15,45774,Barrera-Liu Publications,Dwayne Elliott,2018-10-21,587073
The Collection Chronicles 1,3.26,14905,"Crosby, West and Norton Publications",Cynthia Garcia,2018-08-13,680810
The Season Chronicles 4,2.9,5687,Reyes-Carter Publications,Anita Andrade,2018-06-19,829774
The Sing Chronicles 4,2.7,44653,Huber Group Publications,Brandon Avery,2025-03-12,2042
The Daughter Chronicles 2,4.35,11895,"Crosby, West and Norton Publications",Eric Moreno,2021-10-19,885102
The Chance Chronicles 5,3.91,26097,Barrera-Liu Publications,Anthony Phillips,2019-01-20,32406
The Economy Chronicles 3,2.59,31098,Hicks PLC Publications,Lisa Henderson,2020-09-07,337671
The Represent Chronicles 2,2.57,39615,Tucker and Sons Publications,Jasmine Blanchard,2019-12-26,263707
The About Chronicles 2,4.24,27539,"Miller, Sanchez and Moore Publications",Willie Cline,2022-05-05,15222
The Do Chronicles 1,2.52,43533,Ramos-Walker Publications,Tyler Simmons,2017-10-16,660925
The Report Chronicles 1,2.89,24443,Nguyen Inc Publications,Donna Miller,2018-02-27,290844
The Staff Chronicles 3,3.58,15085,Nguyen Inc Publications,Kristie Wilson,2020-11-07,557165
The Consider Chronicles 2,3.04,2299,"Crosby, West and Norton Publications",Jessica Martin,2025-07-25,795632
The Individual Chronicles 5,4.84,24808,Huber Group Publications,Lisa Cunningham,2016-04-23,447428
The Interesting Chronicles 5,4.08,1693,Martinez-Park Publications,Janice Johnson,2017-06-25,123710
The Report Chronicles 1,3.22,29446,"Garrison, Donovan and Nelson Publications",Darius Jimenez,2024-04-21,663304
The All Chronicles 2,4.16,35331,"Smith, Erickson and Stephens Publications",Scott Ortiz,2020-05-31,552682
The About Chronicles 2,4.38,22855,Meza-Cook Publications,Mr. Timothy Ray,2020-07-26,724968
The Put Chronicles 1,4.66,9472,"Green, Castillo and Rowe Publications",Samantha Webb,2016-05-18,979681
The Usually Chronicles 3,3.42,38086,Callahan LLC Publications,Dan Pham,2025-03-04,841755
The Chance Chronicles 2,4.48,1857,Sanders PLC Publications,Peter Butler,2024-06-06,837873
The Position Chronicles 4,2.7,24909,Peters Group Publications,Anthony Nelson,2024-09-26,425673
The Conference Chronicles 5,3.66,23820,Martinez-Park Publications,Katie Little,2021-10-07,463776
The Thousand Chronicles 2,3.73,32659,Nielsen PLC Publications,Angie Gray,2020-08-14,261238
The Stop Chronicles 2,4.36,6159,"Reese, Tate and Mann Publications",Cameron Hall,2025-09-14,665773
The A Chronicles 4,4.15,47137,Brown-Holmes Publications,Tyler Simmons,2022-10-24,524688
The Thus Chronicles 1,2.91,37024,Walker-Parks Publications,Lisa Cunningham,2022-10-23,48509
The Month Chronicles 3,4.38,23734,"Reese, Tate and Mann Publications",Darius Jimenez,2023-11-01,755416
The School Chronicles 4,4.45,35021,"Green, Castillo and Rowe Publications",James Rivera PhD,2022-07-31,261555
The Letter Chronicles 1,3.84,22055,Moore LLC Publications,Jerry Brown,2017-06-01,269966
The As Chronicles 5,3.31,23002,Nielsen PLC Publications,Cheryl Reyes MD,2022-10-28,342548
The Doctor Chronicles 2,2.56,18409,Matthews-Johnson Publications,Sarah Cook,2024-08-28,231622
The Water Chronicles 1,2.59,41970,"Crosby, West and Norton Publications",Barbara Maxwell,2024-12-01,185166
The Light Chronicles 2,3.43,42466,Taylor Inc Publications,Mary Smith,2023-11-20,536047
The Alone Chronicles 1,3.15,7251,Ortega-Brandt Publications,Anthony Phillips,2022-12-12,998233
The Color Chronicles 3,4.54,39379,"Green, Castillo and Rowe Publications",Travis Reyes,2021-09-27,429683
The Common Chronicles 4,4.44,8182,"Schroeder, Moore and Allen Publications",Tonya Clark,2023-11-09,295028
The Daughter Chronicles 4,2.71,12499,"Shaffer, Walker and Lowe Publications",Kristie Wilson,2019-09-30,710227
The Minute Chronicles 2,2.8,45148,Pena LLC Publications,Peter Butler,2016-07-03,756905
The Necessary Chronicles 4,2.9,22859,"Gonzales, Miles and Ray Publications",Kenneth Rodriguez,2020-11-01,960892
The Top Chronicles 5,4.75,11342,Gilbert-Robinson Publications,Andrew Carlson,2024-02-03,398714
The Always Chronicles 2,3.4,3642,"Taylor, Murphy and Watkins Publications",Connie Wise,2016-07-18,214551
The Great Chronicles 4,4.09,36109,Nielsen PLC Publications,Amy Ballard,2017-11-25,720291
The Party Chronicles 4,2.64,24679,Gilbert-Robinson Publications,John Johnson,2020-07-29,239913
The Thus Chronicles 1,4.6,18941,Meza-Cook Publications,Michael Nash,2018-05-14,939465
The Choice Chronicles 5,3.07,34769,Tucker and Sons Publications,Valerie Estes,2017-01-27,810496
The Wonder Chronicles 1,3.51,32865,Nielsen PLC Publications,Samantha Webb,2017-10-31,434899
The What Chronicles 5,4.95,19046,"Crosby, West and Norton Publications",Sharon Salazar,2025-07-31,599446
The Late Chronicles 4,4.74,20055,Gamble-Reed Publications,Mark Martin,2017-05-21,430033
The Hold Chronicles 4,2.92,20540,Joseph-Gonzalez Publications,Amy Ballard,2023-12-24,262537
The Ten Chronicles 3,2.8,48407,Callahan LLC Publications,Joshua White,2021-09-29,994863
The Method Chronicles 3,3.58,2535,Taylor Inc Publications,Barbara Maxwell,2019-07-20,275452
The Cost Chronicles 5,4.65,23869,Martin Inc Publications,Barbara Benson,2025-07-13,155121
The Tonight Chronicles 4,3.97,2103,"Gonzales, Miles and Ray Publications",Andrew Carlson,2015-10-16,532010
The Cultural Chronicles 2,2.82,39687,Peters Group Publications,Brian Rivera,2023-09-26,651267
The Cultural Chronicles 5,2.88,32433,Lopez-Jones Publications,Dustin Barber,2024-03-21,19224
The Represent Chronicles 4,4.08,983,Moore LLC Publications,Jeffery Ortega,2017-04-02,934128
The Great Chronicles 2,4.36,37988,Gilbert-Robinson Publications,Jose Young,2024-09-14,361618
The North Chronicles 2,4.73,1752,"Wang, Russell and Davis Publications",Jeffery Wagner,2022-06-09,382754
The Usually Chronicles 2,4.57,24758,Pena LLC Publications,Cheryl Reyes MD,2025-09-01,142802
The Few Chronicles 1,2.82,31465,Ramos-Walker Publications,Andrew Carlson,2018-12-12,982971
The Money Chronicles 1,4.42,36253,Martinez-Park Publications,Sarah Cook,2025-08-22,108841
The Listen Chronicles 4,3.71,22274,"Schroeder, Moore and Allen Publications",Lisa Henderson,2020-11-21,611180
The Sing Chronicles 5,4.71,991,Sanders PLC Publications,Allen Spence,2025-05-06,307835
The Fill Chronicles 4,4.81,16763,"Schroeder, Moore and Allen Publications",Amy Ballard,2021-03-14,518006
The Study Chronicles 5,4.19,41823,Martinez-Park Publications,Susan Taylor,2018-12-19,608490
The Position Chronicles 3,3.66,29086,Chen-Campbell Publications,James Rivera PhD,2023-06-03,102464
The Expert Chronicles 3,3.85,23799,Pena LLC Publications,Cynthia Marshall,2023-06-16,767346
The Economy Chronicles 2,4.4,44539,"Garrison, Donovan and Nelson Publications",Emily Hughes,2018-03-13,336744
The Ready Chronicles 2,3.2,43282,"Santiago, Jones and West Publications",David Aguilar,2016-10-22,375516
The Thus Chronicles 1,3.16,16470,Clark-Mccarthy Publications,Michael Nash,2025-07-21,157368
The Game Chronicles 2,3.2,30143,"Harris, Davis and Stevenson Publications",Larry Lewis,2025-05-30,906432
The Rise Chronicles 4,2.86,19087,Fuller-Herrera Publications,Ryan Mcintosh,2016-08-26,602636
The Rate Chronicles 3,3.77,13442,Smith Ltd Publications,Connie Wise,2016-03-07,398358
The Party Chronicles 4,3.53,39239,Joseph-Gonzalez Publications,Scott Ortiz,2022-07-24,703489
The Ten Chronicles 5,2.99,28918,Meza-Cook Publications,Craig Ayala,2016-08-31,674836
The Piece Chronicles 4,2.94,17963,Lopez-Jones Publications,Cheryl Reyes MD,2022-12-11,484686
The Image Chronicles 2,2.68,21114,"Garrison, Donovan and Nelson Publications",Nicholas Harris,2025-07-18,633148
The Conference Chronicles 1,4.09,48166,Clark-Mccarthy Publications,Sharon Salazar,2024-10-18,320207
The Movement Chronicles 1,4.59,34094,Chen-Campbell Publications,Arthur Nunez,2025-08-02,341008
The Describe Chronicles 2,3.85,481,"Miller, Sanchez and Moore Publications",James Rivera PhD,2022-05-28,909935
The Indicate Chronicles 5,4.03,24688,Ortega-Brandt Publications,Andrea Morris,2022-06-20,577688
The Game Chronicles 1,4.53,23403,Meza-Cook Publications,Michael Nash,2021-04-13,7866
The North Chronicles 3,4.92,41738,Reyes-Carter Publications,Christine Jackson,2020-04-28,436035
The Local Chronicles 1,4.57,46940,Callahan LLC Publications,Kristen Cantrell,2020-12-04,317114
The Stand Chronicles 4,3.77,199,Moore LLC Publications,Katelyn Smith,2017-10-01,182968
The Mrs Chronicles 1,3.78,7597,Peters Group Publications,Dylan Smith,2023-02-12,753106
The Ten Chronicles 5,3.1,7013,"Smith, Erickson and Stephens Publications",Pam Jones,2020-12-13,967104
The Doctor Chronicles 5,3.05,16959,"Reese, Tate and Mann Publications",Tyler Simmons,2025-06-26,533931
The Kid Chronicles 5,2.71,36931,Tucker and Sons Publications,Stephanie Smith,2021-04-25,173114
The Across Chronicles 3,4.48,13499,"Garrison, Donovan and Nelson Publications",Taylor Gibson,2020-08-17,943771
The Like Chronicles 3,2.95,13797,Patterson-Potter Publications,Antonio Crane,2018-07-08,642046
The Star Chronicles 2,4.53,38774,Fuller-Herrera Publications,Brittany Gutierrez,2022-06-03,455635
The Wonder Chronicles 2,3.25,22176,Gamble-Reed Publications,Maria Evans,2017-09-11,841569
The Week Chronicles 1,3.04,32554,Pena LLC Publications,Stacy Gutierrez,2023-10-12,699121
The Throughout Chronicles 4,3.27,6284,"Shaffer, Walker and Lowe Publications",David Aguilar,2020-06-29,936465
The Trade Chronicles 2,3.13,33169,Gamble-Reed Publications,Nicholas Harris,2020-01-23,268714
The Part Chronicles 4,3.69,36697,Walker-Parks Publications,Jose Young,2023-06-20,319768
The Represent Chronicles 2,4.26,1829,Taylor Inc Publications,Cynthia Marshall,2025-04-17,826830
The Sing Chronicles 3,4.75,13695,Martinez-Park Publications,Veronica Miller,2021-05-08,671290
The Hot Chronicles 2,3.41,3976,Sanders PLC Publications,Kristen Cantrell,2018-06-05,763970
The Stand Chronicles 2,2.61,27246,"Reese, Tate and Mann Publications",Jeffery Ortega,2023-01-09,652344
The Game Chronicles 3,4.1,45820,Fuller-Herrera Publications,Christine Jackson,2024-09-01,575224
The Daughter Chronicles 1,2.82,16825,"Crosby, West and Norton Publications",Anthony Phillips,2021-01-25,763744
The Trouble Chronicles 2,3.05,21855,Smith Ltd Publications,Dwayne Elliott,2017-12-23,310347
The Image Chronicles 3,2.7,29416,"Miller, Sanchez and Moore Publications",Kristen Cantrell,2020-09-05,592413
The People Chronicles 1,4.42,7897,Walker-Parks Publications,Brian Rivera,2020-09-24,979303
The Father Chronicles 2,3.05,37127,Tucker and Sons Publications,Ryan Mcintosh,2017-08-26,82800
The Time Chronicles 3,3.25,36519,Gamble-Reed Publications,Emily Hughes,2022-05-16,768240
The Star Chronicles 3,4.84,43659,Young-Johnson Publications,Tammy Hudson,2023-12-09,192015
The Maintain Chronicles 4,2.92,44113,"Wang, Russell and Davis Publications",Jerry Brown,2018-05-24,583780
The Hot Chronicles 2,4.17,36689,Smith Ltd Publications,Kevin Arnold,2022-03-30,385543
The Source Chronicles 2,2.77,36274,"Gonzales, Miles and Ray Publications",Joshua White,2025-01-01,106960
The Student Chronicles 1,3.05,36064,"Crosby, West and Norton Publications",Jeffery Ortega,2019-11-28,241164
The Letter Chronicles 1,4.07,46867,"Green, Castillo and Rowe Publications",Christine Jackson,2022-05-21,353661
The According Chronicles 2,3.38,40954,"Wang, Russell and Davis Publications",Timothy Wells,2017-12-02,367102
The As Chronicles 3,4.25,12904,"Gonzales, Miles and Ray Publications",Samantha Webb,2019-11-21,726434
The Sing Chronicles 1,4.24,49511,Fuller-Herrera Publications,Travis Reyes,2021-08-20,519839
The Cost Chronicles 2,4.79,37056,Martinez-Park Publications,Eric Moreno,2024-07-13,843191
The Light Chronicles 4,3.04,35469,Fuller-Herrera Publications,Christopher Waller,2023-08-21,717637
The Report Chronicles 2,2.64,35595,Fuller-Herrera Publications,Nicole Morrison,2015-11-05,859143
The Letter Chronicles 1,2.82,27215,"Schroeder, Moore and Allen Publications",Veronica Miller,2017-07-05,757670
The No Chronicles 5,4.17,27219,Smith Ltd Publications,Luis Reed Jr.,2016-11-12,131282
The In Chronicles 5,4.32,47124,"Crosby, West and Norton Publications",Taylor Gibson,2022-07-23,532171
The As Chronicles 5,3.09,45002,"Harris, Davis and Stevenson Publications",Christopher Lopez,2018-09-14,407471
The Local Chronicles 1,3.29,37592,Taylor Inc Publications,Kevin Arnold,2022-09-02,361777
The Usually Chronicles 3,4.59,45596,Barrera-Liu Publications,Cynthia Garcia,2022-08-01,880697
The Entire Chronicles 5,3.26,47838,Peters Group Publications,Sarah Cook,2023-02-08,233871
The Few Chronicles 5,3.48,31867,"Santiago, Jones and West Publications",Dylan Smith,2023-02-22,218048
The Hot Chronicles 4,2.88,27514,Gilbert-Robinson Publications,Darius Jimenez,2021-09-25,965352
The Face Chronicles 2,3.17,6975,Joseph-Gonzalez Publications,Vickie Peters,2023-01-02,836507
The Listen Chronicles 3,3.11,18086,Barrera-Liu Publications,Nicole Morrison,2022-03-29,427572
The Position Chronicles 1,4.67,16972,Ferrell and Sons Publications,David Aguilar,2022-04-24,781959
The Science Chronicles 2,3.05,24077,"Smith, Erickson and Stephens Publications",Timothy Wells,2023-04-11,354052
The Certainly Chronicles 1,4.59,37982,"Harris, Davis and Stevenson Publications",David Hernandez,2024-12-12,447965
The Him Chronicles 3,4.16,4072,Ortega-Brandt Publications,Brandon Avery,2025-04-04,406073
The May Chronicles 2,3.49,45257,"Crosby, West and Norton Publications",Cynthia Garcia,2023-08-12,380246
The Blood Chronicles 2,3.75,41609,Callahan LLC Publications,Vickie Peters,2019-01-20,81482
The Star Chronicles 2,2.91,1584,Matthews-Johnson Publications,Andrew Carlson,2017-05-17,78605
The May Chronicles 5,3.04,584,Martin Inc Publications,Valerie Estes,2024-01-29,603258
The Face Chronicles 3,3.91,47224,"Miller, Sanchez and Moore Publications",Amanda Gibbs,2025-09-14,167970
The Few Chronicles 1,4.26,25958,"Reese, Tate and Mann Publications",Emily Hughes,2017-09-18,519631
The Well Chronicles 3,4.68,13044,Cruz PLC Publications,Angie Gray,2016-06-17,958787
The What Chronicles 3,3.16,15475,Hicks PLC Publications,Anthony Phillips,2024-11-14,693619
The Community Chronicles 1,3.05,35630,Lopez-Jones Publications,Tina Cowan,2022-05-26,73196
The Collection Chronicles 1,4.0,24115,Matthews-Johnson Publications,Katelyn Smith,2025-07-18,477403
The Thus Chronicles 3,3.32,3423,Peters Group Publications,Valerie Estes,2022-05-22,325458
The Beyond Chronicles 1,4.93,48106,Huber Group Publications,Tina Cowan,2018-03-08,482762
The Student Chronicles 5,4.26,4363,"Cole, Garner and Wright Publications",Ryan Mcintosh,2025-03-01,69370
The Help Chronicles 2,3.58,15521,Martin Inc Publications,Janice Johnson,2024-02-23,170894
The Part Chronicles 4,3.67,35478,Tucker and Sons Publications,Stephanie Smith,2016-08-05,266837
The Movement Chronicles 3,2.89,23127,Barrera-Liu Publications,Katie Little,2022-07-15,962893
The Figure Chronicles 2,2.84,39469,Clark-Mccarthy Publications,Cameron Hall,2018-07-25,68792
The Economy Chronicles 4,3.31,22210,Matthews-Johnson Publications,David Aguilar,2024-10-23,254056
The Consider Chronicles 1,2.82,21887,"Gonzales, Miles and Ray Publications",Christopher Waller,2021-01-11,790236
The Thus Chronicles 3,3.03,19931,"Harris, Davis and Stevenson Publications",Christine Jackson,2021-11-12,524932
The Part Chronicles 2,4.57,13092,Walker-Parks Publications,Andrea Morris,2022-08-03,175818
The Store Chronicles 4,3.0,7090,Pena LLC Publications,David Hernandez,2020-05-24,693513
The Where Chronicles 1,2.55,15925,"Shaffer, Walker and Lowe Publications",Lisa Cunningham,2025-05-09,890770
The Listen Chronicles 4,4.38,14068,Tucker and Sons Publications,Andrea Morris,2017-09-04,306412
The Wonder Chronicles 5,4.45,43347,Nguyen Inc Publications,Jessica Martin,2024-10-12,738849
The Strong Chronicles 5,4.58,7369,"Green, Castillo and Rowe Publications",Mary Smith,2020-03-05,322641
The Star Chronicles 5,2.84,13991,"Gonzales, Miles and Ray Publications",Craig Ayala,2021-07-19,262934
The Well Chronicles 1,2.69,6365,Moore LLC Publications,Stacy Gutierrez,2019-07-19,33737
The Few Chronicles 3,2.7,46512,Moore LLC Publications,Veronica Miller,2017-04-16,946644
The Describe Chronicles 1,3.46,7802,Martin Inc Publications,Matthew Brooks,2016-09-26,690698
The Certainly Chronicles 3,3.18,8515,Moore LLC Publications,Susan Sanders,2015-10-22,71818
The Beyond Chronicles 2,2.88,19011,Sanders PLC Publications,Kevin Arnold,2016-08-17,427693
The Method Chronicles 3,3.47,22926,Smith Ltd Publications,Kevin Arnold,2018-09-30,736335
The Your Chronicles 5,3.5,49794,Lopez-Jones Publications,Barbara Maxwell,2016-10-02,745106
The School Chronicles 2,2.6,12886,Reyes-Carter Publications,Janice Johnson,2016-02-05,783929
The Figure Chronicles 3,4.84,44824,Nguyen Inc Publications,Brittany Gutierrez,2021-01-09,92489
The Whatever Chronicles 5,2.86,12118,"Miller, Sanchez and Moore Publications",Christopher Waller,2018-11-23,143833
The Challenge Chronicles 2,3.72,1641,Ferrell and Sons Publications,Barbara Maxwell,2021-04-14,724662
The Increase Chronicles 2,4.59,14888,Chen-Campbell Publications,David Hernandez,2018-04-14,9494
The Season Chronicles 3,3.93,49248,Barrera-Liu Publications,Lisa Henderson,2018-04-14,609313
The Star Chronicles 5,3.51,32644,Young-Johnson Publications,Cameron Hall,2023-07-02,847136
The Entire Chronicles 3,2.95,14736,"Santiago, Jones and West Publications",Jessica Martin,2020-06-05,561339
The Month Chronicles 4,4.18,46417,"Shaffer, Walker and Lowe Publications",Cameron Hall,2025-05-20,601225
The Thousand Chronicles 2,4.9,47123,Peters Group Publications,Tonya Clark,2022-06-09,449875
The Discussion Chronicles 5,4.46,47444,Smith Ltd Publications,Jeffery Ortega,2021-01-03,434950
The Economy Chronicles 5,2.93,14466,Barrera-Liu Publications,Cody Thomas,2019-08-08,721855
The Buy Chronicles 1,4.52,29133,Lopez-Jones Publications,Kevin Arnold,2016-05-27,829656
The Concern Chronicles 2,4.55,15175,Pena LLC Publications,Pam Jones,2017-03-09,189516
The Method Chronicles 3,4.66,47700,Huber Group Publications,Jeffery Wagner,2024-11-06,230370
The Think Chronicles 3,3.45,36939,Patterson-Potter Publications,Sarah Cook,2016-01-25,828332
The Expert Chronicles 1,2.85,45557,Tucker and Sons Publications,Cameron Roberts,2020-08-05,554343
The Student Chronicles 2,3.34,44202,Gilbert-Robinson Publications,Jasmine Blanchard,2024-07-25,432749
The Word Chronicles 4,3.29,22394,Barrera-Liu Publications,Joshua White,2022-09-29,861942
The Just Chronicles 2,2.86,41556,Walker-Parks Publications,Amanda Gibbs,2022-12-16,157906
The Star Chronicles 4,2.92,42234,"Green, Castillo and Rowe Publications",Scott Ortiz,2021-05-03,224787
The Game Chronicles 1,2.86,19212,"Miller, Sanchez and Moore Publications",Tonya Clark,2016-07-19,568470
The Game Chronicles 4,4.36,32120,Joseph-Gonzalez Publications,Jasmine Blanchard,2016-01-13,841359
The Image Chronicles 2,4.22,24346,Austin LLC Publications,Cynthia Garcia,2023-12-20,301482
The Response Chronicles 4,3.41,13934,"Shaffer, Walker and Lowe Publications",Jessica Martin,2023-10-17,443958
The Position Chronicles 3,3.78,25704,Joseph-Gonzalez Publications,Maria Evans,2017-12-15,27362
The Hot Chronicles 5,3.77,32848,Martinez-Park Publications,Jose Young,2018-03-07,750101
The Machine Chronicles 1,2.55,5462,"Schroeder, Moore and Allen Publications",Kenneth Rodriguez,2025-08-01,144736
The Minute Chronicles 2,2.88,23859,Tucker and Sons Publications,David Aguilar,2019-04-21,800511
The Always Chronicles 5,2.83,22466,Gilbert-Robinson Publications,Arthur Nunez,2017-08-30,986553
The About Chronicles 4,3.25,23154,Ferrell and Sons Publications,Christine Jackson,2017-07-09,651159
