title,rating,review_counts,publication_house,author,publishing_date,copies_sold
The Word Chronicles 5,4.41,2025,Callahan LLC Publications,Matthew Alvarez,2020-06-19,122337
The Election Chronicles 4,3.53,10827,Cabrera-Eaton Publications,Sharon Salazar,2017-07-18,977525
The Whatever Chronicles 2,4.67,12277,Hicks PLC Publications,Larry Lewis,2023-03-04,671577
The Account Chronicles 3,4.88,18146,"Taylor, Murphy and Watkins Publications",Vickie Peters,2022-12-04,679460
The Thus Chronicles 5,3.01,33632,Joseph-Gonzalez Publications,Christopher Lopez,2018-07-14,313677
The Minute Chronicles 1,3.97,16331,Austin LLC Publications,Emily Hughes,2019-03-31,668470
The Daughter Chronicles 4,3.7,44784,Sanders PLC Publications,Peter Butler,2022-05-20,378847
The Piece Chronicles 2,2.55,28769,Cruz PLC Publications,Lisa Henderson,2017-06-11,78297
The Sense Chronicles 4,3.69,43091,Cabrera-Eaton Publications,Cynthia Garcia,2017-03-24,904212
The Manage Chronicles 1,4.24,4406,"Taylor, Murphy and Watkins Publications",Amanda Gibbs,2022-08-18,991931
The Political Chronicles 3,2.93,27950,"Harris, Davis and Stevenson Publications",Dylan Smith,2020-09-17,210239
The Party Chronicles 5,3.22,23390,Peters Group Publications,Mathew Martin,2022-11-14,828276
The North Chronicles 3,3.89,18255,Martinez-Park Publications,Christine Roman,2018-12-20,635278
The Always Chronicles 5,4.22,30457,Peters Group Publications,Amber Murphy,2019-05-07,430535
The Hold Chronicles 1,3.92,19445,Chen-Campbell Publications,Cameron Roberts,2016-06-23,160224
The Necessary Chronicles 1,2.93,27891,Peters Group Publications,Jasmine Blanchard,2021-07-21,482506
The Trade Chronicles 4,3.1,41795,"Santiago, Jones and West Publications",Marissa Morgan,2018-03-29,126320
The Too Chronicles 4,2.76,37820,Cabrera-Eaton Publications,Darius Jimenez,2016-03-12,89001
The Show Chronicles 5,3.72,24145,Meza-Cook Publications,Barbara Benson,2018-05-27,719074
The Thus Chronicles 2,3.97,7528,Clark-Mccarthy Publications,Andrew Carlson,2023-10-29,187532
The Cultural Chronicles 1,4.4,39694,Peters Group Publications,Dustin Barber,2019-10-06,786957
The Type Chronicles 3,3.05,594,Chen-Campbell Publications,Larry Lewis,2022-02-18,982327
The Account Chronicles 1,3.44,24512,"Santiago, Jones and West Publications",Lisa Cunningham,2017-01-20,706877
The Learn Chronicles 3,2.92,2704,Nguyen Inc Publications,Amber Murphy,2018-08-11,189396
The Page Chronicles 4,3.65,20124,"Crosby, West and Norton Publications",Dan Pham,2021-04-29,947829
The Growth Chronicles 4,3.88,45605,Ferrell and Sons Publications,Tonya Clark,2022-07-03,757127
The Chance Chronicles 4,2.69,8498,"Miller, Sanchez and Moore Publications",Laura Zimmerman,2025-04-03,92516
The Treat Chronicles 1,3.52,14145,Barrera-Liu Publications,Cody Thomas,2021-11-08,408750
The Fill Chronicles 1,3.02,22602,Barrera-Liu Publications,Cynthia Marshall,2024-05-30,690214
The Rich Chronicles 2,3.55,3136,"Santiago, Jones and West Publications",Emily Hughes,2023-03-23,495539
The Treat Chronicles 2,4.55,31089,"Cole, Garner and Wright Publications",Barbara Benson,2022-03-29,123789
The Piece Chronicles 5,4.52,5108,Meza-Cook Publications,Anthony Phillips,2024-09-03,66897
The Main Chronicles 1,4.66,29308,Clark-Mccarthy Publications,Larry Lewis,2019-02-01,691552
The Cost Chronicles 4,3.89,43386,Lopez-Jones Publications,Stacy Gutierrez,2020-10-16,97067
The Part Chronicles 5,4.82,16241,Austin LLC Publications,Sarah Cook,2024-08-04,415617
The Tonight Chronicles 2,4.06,44107,Smith Ltd Publications,Ryan Mcintosh,2019-12-02,531963
The Word Chronicles 2,3.65,33753,"Miller, Sanchez and Moore Publications",Tonya Clark,2019-08-05,217062
The Later Chronicles 5,3.13,34481,Ferrell and Sons Publications,Kenneth Rodriguez,2021-06-29,392326
The Game Chronicles 1,2.6,37242,"Cole, Garner and Wright Publications",Luis Reed Jr.,2018-11-19,572892
The Where Chronicles 5,2.93,28437,"Miller, Sanchez and Moore Publications",Arthur Nunez,2018-04-27,258217
The Coach Chronicles 3,4.56,49930,Gilbert-Robinson Publications,Brittany Gutierrez,2017-02-13,51129
The Where Chronicles 3,3.47,40623,Moore-Potter Publications,Dylan Smith,2019-03-03,538990
The Daughter Chronicles 3,4.9,16496,"Smith, Erickson and Stephens Publications",Barbara Maxwell,2019-08-08,983145
The Trade Chronicles 5,2.55,46319,"Taylor, Murphy and Watkins Publications",Mathew Martin,2020-12-11,694284
The Show Chronicles 1,3.88,22681,Gilbert-Robinson Publications,Anthony Nelson,2021-10-13,130679
The Increase Chronicles 5,3.15,46847,"Garrison, Donovan and Nelson Publications",Mario Jones,2020-07-30,817172
The Well Chronicles 3,4.64,15554,Peters Group Publications,Tonya Clark,2019-02-13,305125
The Well Chronicles 4,3.63,12401,Reyes-Carter Publications,Eric Moreno,2017-07-15,516884
The Election Chronicles 3,4.73,3452,"Wang, Russell and Davis Publications",Thomas Waters,2017-09-15,41033
The Current Chronicles 3,4.31,36951,Moore LLC Publications,Emily Hughes,2024-07-11,775663
The Cover Chronicles 2,3.74,16365,Young-Johnson Publications,Brandon Avery,2016-10-13,173821
The Economy Chronicles 2,3.05,31813,Sanders PLC Publications,Tyler Simmons,2022-03-01,279599
The Do Chronicles 3,4.65,7221,Joseph-Gonzalez Publications,Antonio Crane,2022-06-02,18777
The Later Chronicles 5,3.04,672,"Green, Castillo and Rowe Publications",Ryan Mcintosh,2021-12-06,501214
The All Chronicles 3,4.4,5805,Tucker and Sons Publications,Tina Cowan,2019-06-05,206004
The Hand Chronicles 5,4.88,42851,Gamble-Reed Publications,Luis Reed Jr.,2021-10-27,245610
The Later Chronicles 5,3.04,5510,Brown-Holmes Publications,Anthony Phillips,2016-01-21,890778
The Week Chronicles 5,4.17,17743,Walker-Parks Publications,Dylan Smith,2015-10-26,103376
The Stop Chronicles 4,4.77,11971,Martinez-Park Publications,Tonya Clark,2018-02-05,795183
The North Chronicles 3,4.22,46552,Matthews-Johnson Publications,Tina Torres,2023-03-31,15014
The Kid Chronicles 2,4.36,9803,Lopez-Jones Publications,Jeffery Wagner,2023-02-13,161686
The Little Chronicles 5,3.87,13802,Nielsen PLC Publications,Cheryl Reyes MD,2016-03-20,992157
The Consider Chronicles 4,4.42,34776,Fuller-Herrera Publications,Antonio Crane,2016-09-09,65024
The Store Chronicles 2,2.89,42564,"Shaffer, Walker and Lowe Publications",Connie Wise,2016-07-29,269143
The Color Chronicles 5,3.75,43036,Brown-Holmes Publications,Anita Andrade,2023-04-02,360950
The Throw Chronicles 2,3.52,29535,Ramos-Walker Publications,Kenneth Rodriguez,2018-12-22,67659
The Tonight Chronicles 3,2.79,3858,Joseph-Gonzalez Publications,Mario Jones,2016-11-26,466156
The Party Chronicles 2,4.88,30686,"Reese, Tate and Mann Publications",Taylor Gibson,2023-03-20,509934
The Republican Chronicles 5,2.95,42051,"Santiago, Jones and West Publications",Stephanie Smith,2025-06-21,864426
The Source Chronicles 1,4.27,44287,"Green, Castillo and Rowe Publications",Luis Reed Jr.,2017-04-02,81700
The Wall Chronicles 2,4.27,6709,Ramos-Walker Publications,Cynthia Garcia,2022-01-12,554885
The Catch Chronicles 5,3.04,30915,Austin LLC Publications,Brittany Gutierrez,2024-04-18,320534
The Help Chronicles 4,3.2,22734,Young-Johnson Publications,Stacy Gutierrez,2021-10-12,659938
The Interesting Chronicles 4,4.86,32621,Martinez-Park Publications,Brian Rivera,2017-03-19,42165
The Star Chronicles 1,4.63,21666,"Crosby, West and Norton Publications",Anthony Nelson,2017-06-09,64702
The Difficult Chronicles 5,2.8,26562,Gilbert-Robinson Publications,Brian Rivera,2025-07-12,948448
The Store Chronicles 3,4.53,11094,"Schroeder, Moore and Allen Publications",Stephanie Smith,2025-07-31,516291
The Letter Chronicles 1,3.34,48528,"Taylor, Murphy and Watkins Publications",Cody Thomas,2023-07-03,958868
The Choice Chronicles 3,3.02,23113,Cruz PLC Publications,Antonio Crane,2021-06-06,353117
The Mrs Chronicles 2,4.93,4583,"Cole, Garner and Wright Publications",James Ayala,2017-02-28,744982
The Also Chronicles 4,2.51,26641,"Crosby, West and Norton Publications",Tonya Clark,2021-05-10,83540
The Hand Chronicles 1,4.63,6704,Meza-Cook Publications,Christopher Lopez,2021-04-13,921215
The No Chronicles 3,2.64,8442,"Harris, Davis and Stevenson Publications",Allen Spence,2021-10-05,111993
The Indicate Chronicles 3,3.96,42812,"Shaffer, Walker and Lowe Publications",Donna Miller,2023-10-07,895725
The Color Chronicles 4,2.9,31878,Fuller-Herrera Publications,Matthew Brooks,2021-06-04,770314
The Money Chronicles 2,3.27,20410,"Shaffer, Walker and Lowe Publications",Christine Roman,2016-08-19,87781
The Girl Chronicles 5,3.07,48762,"Harris, Davis and Stevenson Publications",Tonya Clark,2022-02-08,750830
The Reflect Chronicles 4,3.96,16939,Cruz PLC Publications,Brian Rivera,2021-04-05,863980
The Conference Chronicles 1,4.14,25691,Cabrera-Eaton Publications,Jessica Martin,2024-01-16,674373
The Face Chronicles 2,2.74,35690,Lopez-Jones Publications,Stephanie Smith,2022-09-04,803563
The Show Chronicles 1,4.62,46193,Ortega-Brandt Publications,Eric Moreno,2023-10-02,539259
The Rich Chronicles 2,3.14,49135,"Wang, Russell and Davis Publications",Tina Cowan,2018-05-30,676383
The Local Chronicles 4,3.87,4978,Sanders PLC Publications,Susan Taylor,2016-04-09,401125
The Girl Chronicles 4,3.13,41030,Patterson-Potter Publications,Tina Cowan,2019-05-27,425052
The Buy Chronicles 2,3.34,1424,Smith Ltd Publications,Sharon Salazar,2023-03-27,342891
The Scientist Chronicles 2,2.5,45747,Young-Johnson Publications,Andrea Morris,2024-07-30,670363
The Color Chronicles 2,3.43,5714,Chen-Campbell Publications,Donna Miller,2021-08-09,153245
The Special Chronicles 5,2.9,125,Pena LLC Publications,John Johnson,2024-03-19,581802
The Choice Chronicles 1,3.9,28553,Clark-Mccarthy Publications,Willie Cline,2021-09-02,75101
The She Chronicles 3,3.27,32785,Moore-Potter Publications,Mary Smith,2021-10-16,379532
The Product Chronicles 1,3.27,32539,Peters Group Publications,Michael Nash,2019-03-09,596361
The Discover Chronicles 3,2.7,1956,"Green, Castillo and Rowe Publications",Nicole Morrison,2024-05-23,18467
The Bag Chronicles 1,3.53,39227,"Harris, Davis and Stevenson Publications",Lisa Cunningham,2023-02-19,645598
The Staff Chronicles 1,4.77,46837,"Gonzales, Miles and Ray Publications",Matthew Alvarez,2019-08-31,679300
The School Chronicles 2,2.88,19231,Smith Ltd Publications,Mary Smith,2016-01-12,930854
The Administration Chronicles 4,4.5,20534,Huber Group Publications,Mary Smith,2025-07-08,609667
The Strong Chronicles 2,4.52,8433,"Taylor, Murphy and Watkins Publications",Mr. Timothy Ray,2017-06-24,807333
The Him Chronicles 5,4.76,26336,Callahan LLC Publications,Matthew Alvarez,2016-01-14,647785
The Ready Chronicles 3,4.64,49267,Reyes-Carter Publications,Katelyn Smith,2016-04-18,428711
The Like Chronicles 3,4.94,43011,"Wang, Russell and Davis Publications",Dwayne Elliott,2021-06-08,918795
The Few Chronicles 4,3.87,2171,"Wang, Russell and Davis Publications",James Ayala,2022-01-26,616416
The Choice Chronicles 4,2.74,39793,Pena LLC Publications,Peter Butler,2019-10-12,245160
The Blood Chronicles 1,3.07,9481,Callahan LLC Publications,Cynthia Garcia,2017-10-01,111138
The Discussion Chronicles 3,4.55,24156,Ramos-Walker Publications,Arthur Nunez,2020-06-22,502308
The Later Chronicles 3,3.09,47835,"Gonzales, Miles and Ray Publications",Laura Zimmerman,2017-06-02,636071
The Product Chronicles 5,3.72,25751,"Gonzales, Miles and Ray Publications",Jennifer Brown,2016-08-22,125455
The Win Chronicles 4,3.3,21860,Cabrera-Eaton Publications,Stephanie Smith,2024-10-27,286993
The Discussion Chronicles 5,4.62,49968,Hicks PLC Publications,Mark Martin,2022-09-17,700264
The Page Chronicles 3,2.78,14227,Austin LLC Publications,Dan Pham,2020-08-29,570983
The Month Chronicles 4,4.47,29901,Pena LLC Publications,Jessica Martin,2020-09-15,673269
The Face Chronicles 3,2.9,46213,Ramos-Walker Publications,Amber Murphy,2016-03-20,481796
The Face Chronicles 3,3.69,17427,Sanders PLC Publications,Brittany Gutierrez,2021-05-31,794228
The Letter Chronicles 2,4.6,22119,Gamble-Reed Publications,Allen Spence,2020-02-12,684402
The Game Chronicles 3,3.33,45493,"Santiago, Jones and West Publications",Angie Gray,2016-10-29,812062
The Meet Chronicles 2,4.84,26709,Cruz PLC Publications,Jasmine Blanchard,2021-02-10,883390
The Water Chronicles 3,3.76,1770,Nguyen Inc Publications,Anthony Nelson,2020-07-27,401728
The Father Chronicles 2,2.83,43758,"Reese, Tate and Mann Publications",Amanda Gibbs,2019-01-20,43736
The What Chronicles 5,3.77,48967,Moore-Potter Publications,Lisa Cunningham,2024-11-30,730738
The Wall Chronicles 2,3.54,25121,Austin LLC Publications,Jeffery Wagner,2019-08-12,796296
The Alone Chronicles 4,4.66,34808,Brown-Holmes Publications,Scott Ortiz,2023-09-22,55124
The Him Chronicles 5,3.02,38781,Ferrell and Sons Publications,Craig Ayala,2016-09-13,4687
The Hot Chronicles 4,3.33,14661,Moore-Potter Publications,Taylor Gibson,2024-07-05,388425
The Machine Chronicles 4,4.54,18558,Moore-Potter Publications,Jeffery Wagner,2020-02-21,734053
The Later Chronicles 2,3.96,7380,Cruz PLC Publications,Tonya Clark,2016-08-02,449557
The Money Chronicles 4,3.86,26016,Chen-Campbell Publications,Brian Alvarado,2022-05-10,605399
The Whose Chronicles 3,3.93,16809,"Santiago, Jones and West Publications",Craig Ayala,2025-08-13,123210
The Like Chronicles 4,4.33,25555,Moore-Potter Publications,Stacy Gutierrez,2017-05-18,204813
The Minute Chronicles 3,3.23,46823,Nguyen Inc Publications,Maria Evans,2021-12-14,781440
The Figure Chronicles 2,3.25,44963,Chen-Campbell Publications,Scott Ortiz,2015-10-24,759115
The Light Chronicles 5,4.14,39161,Taylor Inc Publications,Kristie Wilson,2024-12-17,215175
The Reflect Chronicles 3,3.97,33648,"Harris, Davis and Stevenson Publications",Brittany Gutierrez,2019-08-18,785685
The May Chronicles 4,4.93,28997,Hicks PLC Publications,Vickie Peters,2025-02-23,775552
The Whatever Chronicles 5,3.84,23028,"Reese, Tate and Mann Publications",David Hernandez,2024-01-03,729596
The Similar Chronicles 1,3.78,12824,Joseph-Gonzalez Publications,James Ayala,2018-01-25,898814
The None Chronicles 5,3.57,44484,Chen-Campbell Publications,Christopher Waller,2025-10-05,495241
The Growth Chronicles 2,4.26,48617,"Green, Castillo and Rowe Publications",Amanda Gibbs,2022-07-28,500637
The Rise Chronicles 2,2.72,27138,"Gonzales, Miles and Ray Publications",Cody Thomas,2020-10-11,807177
The Method Chronicles 4,4.03,31933,Clark-Mccarthy Publications,Sarah Cook,2017-07-27,60212
The Response Chronicles 5,2.82,38818,Barrera-Liu Publications,Barbara Benson,2018-10-05,441472
The Effect Chronicles 2,3.37,39082,"Schroeder, Moore and Allen Publications",Barbara Maxwell,2018-05-07,186186
The Mrs Chronicles 3,4.17,21403,Ferrell and Sons Publications,Jennifer Brown,2018-08-21,199397
The Thus Chronicles 4,3.24,45695,Cabrera-Eaton Publications,Susan Taylor,2016-09-22,756562
The Ready Chronicles 3,4.73,36975,Martin Inc Publications,Janice Johnson,2020-10-07,821754
The Position Chronicles 1,4.93,7894,Pena LLC Publications,Tyler Simmons,2016-10-27,539602
The Hold Chronicles 4,2.9,20275,"Crosby, West and Norton Publications",Susan Sanders,2023-12-07,436631
The May Chronicles 5,4.99,16787,Hicks PLC Publications,Marissa Morgan,2025-05-02,667774
The Stop Chronicles 4,3.74,24894,Martinez-Park Publications,Amy Ballard,2020-09-08,487256
The North Chronicles 4,3.69,4869,"Garrison, Donovan and Nelson Publications",Connie Wise,2022-05-28,895803
The Month Chronicles 4,3.61,45348,Reyes-Carter Publications,Stephanie Smith,2025-01-23,58034
The Too Chronicles 2,2.86,7741,Lopez-Jones Publications,Kevin Arnold,2021-01-10,689977
The Nothing Chronicles 2,3.3,32925,"Santiago, Jones and West Publications",Willie Cline,2021-04-18,365580
The Lose Chronicles 5,3.29,34367,Hicks PLC Publications,Kristie Wilson,2015-11-07,528756
The Help Chronicles 3,3.08,27680,Hicks PLC Publications,Kevin Arnold,2019-10-18,97745
The Well Chronicles 3,3.28,4496,Cabrera-Eaton Publications,Peter Butler,2020-01-31,248066
The Necessary Chronicles 4,3.82,45613,Patterson-Potter Publications,David Aguilar,2016-07-01,848781
The Challenge Chronicles 1,4.93,12057,Joseph-Gonzalez Publications,Mark Martin,2024-12-25,230181
The Buy Chronicles 2,2.98,41416,Chen-Campbell Publications,Angie Gray,2020-03-20,91163
The Response Chronicles 2,3.11,28835,Gamble-Reed Publications,Tammy Hudson,2021-11-14,429430
The Challenge Chronicles 5,2.97,46479,Cruz PLC Publications,Cynthia Marshall,2019-02-05,166000
The Assume Chronicles 3,3.95,18270,Hicks PLC Publications,Donna Miller,2017-03-05,937563
The Light Chronicles 4,3.08,5422,"Miller, Sanchez and Moore Publications",Joshua White,2019-05-13,548408
The Visit Chronicles 3,3.54,12516,"Schroeder, Moore and Allen Publications",Stacy Gutierrez,2018-07-14,678021
The Father Chronicles 5,3.05,6690,Chen-Campbell Publications,Connie Wise,2020-07-31,969797
The Republican Chronicles 5,3.22,41712,Pena LLC Publications,Mathew Martin,2021-04-23,359955
The Kid Chronicles 5,2.72,16603,Nguyen Inc Publications,Jose Young,2016-05-13,441343
The Top Chronicles 3,2.78,43259,Matthews-Johnson Publications,Jessica Martin,2021-03-16,655765
The People Chronicles 2,2.68,19055,Austin LLC Publications,Dwayne Elliott,2022-03-21,443874
The Usually Chronicles 4,3.35,24199,Sanders PLC Publications,Sharon Salazar,2018-05-23,216388
The Well Chronicles 2,3.49,12328,Sanders PLC Publications,Thomas Waters,2023-03-25,232531
The Mrs Chronicles 1,2.61,45032,Taylor Inc Publications,Tyler Simmons,2019-07-20,64413
The According Chronicles 4,4.58,11092,"Green, Castillo and Rowe Publications",Andrew Carlson,2025-08-20,737882
The Certainly Chronicles 5,3.82,20226,Pena LLC Publications,Jennifer Brown,2018-04-17,86571
The Whose Chronicles 1,4.38,8709,Peters Group Publications,Jerry Brown,2020-06-16,90007
The Collection Chronicles 4,4.4,37019,Hicks PLC Publications,Mark Martin,2017-04-01,477807
The Republican Chronicles 5,2.56,21746,"Green, Castillo and Rowe Publications",Lisa Henderson,2017-09-25,21208
The Also Chronicles 2,3.21,28959,Chen-Campbell Publications,Christopher Lopez,2019-04-11,438261
The Assume Chronicles 2,2.8,482,Ortega-Brandt Publications,Connie Wise,2022-07-01,349098
The Mrs Chronicles 2,3.21,8066,Ramos-Walker Publications,Anthony Nelson,2023-07-22,952551
The Treat Chronicles 3,3.83,24158,Peters Group Publications,Emily Hughes,2022-08-02,663242
The Girl Chronicles 1,4.33,7799,"Santiago, Jones and West Publications",Darius Jimenez,2016-08-11,28249
The What Chronicles 2,4.71,7749,Ferrell and Sons Publications,Sarah Cook,2025-10-09,786743
The Throughout Chronicles 1,3.21,3438,Lopez-Jones Publications,Anthony Nelson,2024-09-09,137460
The Game Chronicles 2,3.47,21709,"Cole, Garner and Wright Publications",Jeffery Wagner,2020-06-12,184740
The Star Chronicles 2,3.77,32613,"Shaffer, Walker and Lowe Publications",Tyler Simmons,2019-02-18,76391
The Word Chronicles 5,3.32,26362,Hicks PLC Publications,David Hernandez,2020-10-14,159164
The Strong Chronicles 2,4.3,33255,Reyes-Carter Publications,Jose Young,2018-05-27,115954
The Entire Chronicles 4,3.29,15269,"Miller, Sanchez and Moore Publications",Tina Torres,2023-03-28,85479
The Main Chronicles 4,4.52,34785,"Garrison, Donovan and Nelson Publications",Pam Jones,2025-07-03,998507
The Wall Chronicles 3,4.21,18798,Joseph-Gonzalez Publications,Barbara Benson,2019-10-04,488636
The Account Chronicles 3,3.97,30281,Moore LLC Publications,Dylan Smith,2021-05-18,731615
The Campaign Chronicles 1,4.85,27048,Martin Inc Publications,Jose Young,2020-11-15,9550
The Owner Chronicles 5,4.61,26131,Moore LLC Publications,David Aguilar,2016-05-19,70458
The Certainly Chronicles 1,4.95,34210,Clark-Mccarthy Publications,Amber Murphy,2019-03-16,322138
The Consider Chronicles 5,3.95,41355,Gilbert-Robinson Publications,Susan Sanders,2015-10-30,892148
The Pattern Chronicles 3,2.76,11613,"Crosby, West and Norton Publications",Amanda Gibbs,2018-11-06,859542
The As Chronicles 2,2.67,16361,Austin LLC Publications,Barbara Maxwell,2023-04-29,410990
The Well Chronicles 2,3.55,22788,"Reese, Tate and Mann Publications",Amber Murphy,2024-11-17,436485
The Manage Chronicles 2,3.83,28013,Nguyen Inc Publications,Maria Evans,2016-03-24,341687
The In Chronicles 3,4.4,32311,Cabrera-Eaton Publications,Kristie Wilson,2020-06-11,426777
The Entire Chronicles 2,3.7,41648,"Crosby, West and Norton Publications",Amber Murphy,2016-12-11,366123
The Product Chronicles 4,4.8,48288,"Garrison, Donovan and Nelson Publications",Donna Miller,2016-02-25,729420
The Tonight Chronicles 5,3.87,20843,"Wang, Russell and Davis Publications",Tina Cowan,2022-02-23,425438
The Position Chronicles 4,3.0,47457,Taylor Inc Publications,Jeffery Ortega,2017-01-16,712190
The Blood Chronicles 5,4.05,35148,"Garrison, Donovan and Nelson Publications",Mary Smith,2021-11-11,91105
The Hot Chronicles 2,4.23,5442,"Wang, Russell and Davis Publications",James Rivera PhD,2017-11-22,522025
The Owner Chronicles 3,3.66,21911,Ferrell and Sons Publications,Susan Taylor,2019-08-09,934802
The Cost Chronicles 4,4.43,10135,Smith Ltd Publications,Joshua White,2020-01-10,664020
The Though Chronicles 5,2.77,2491,Reyes-Carter Publications,David Aguilar,2021-10-07,554272
The Response Chronicles 4,4.51,29981,Nielsen PLC Publications,Peter Butler,2025-04-10,24752
The Image Chronicles 5,2.64,28331,Smith Ltd Publications,Jose Young,2024-12-23,781833
The Season Chronicles 1,4.48,44999,Gamble-Reed Publications,John Johnson,2025-01-10,663073
The Visit Chronicles 4,2.98,44766,Lopez-Jones Publications,Maria Evans,2016-01-18,63131
The Maintain Chronicles 4,2.87,21801,Joseph-Gonzalez Publications,Connie Wise,2016-09-30,724829
The Color Chronicles 2,4.31,17484,"Taylor, Murphy and Watkins Publications",David Hernandez,2017-01-16,171939
The Rise Chronicles 5,3.39,30887,"Smith, Erickson and Stephens Publications",Stacy Gutierrez,2022-03-04,255845
The Mrs Chronicles 4,3.09,33473,Lopez-Jones Publications,Jeffery Ortega,2024-05-18,781723
The Sense Chronicles 2,4.61,47460,Callahan LLC Publications,Christopher Waller,2021-08-17,14530
The Expert Chronicles 5,3.52,45010,"Santiago, Jones and West Publications",Anthony Phillips,2017-01-19,562806
The Well Chronicles 2,4.23,43602,Taylor Inc Publications,Jeffery Wagner,2020-06-18,861251
The Common Chronicles 4,3.63,27697,"Taylor, Murphy and Watkins Publications",Michael Nash,2021-02-20,724944
The Common Chronicles 4,3.21,32414,Cabrera-Eaton Publications,Arthur Nunez,2018-11-29,539622
The Mind Chronicles 1,4.42,36999,"Reese, Tate and Mann Publications",Emily Hughes,2025-05-14,92160
The Chance Chronicles 1,3.54,18933,"Reese, Tate and Mann Publications",Thomas Waters,2017-03-29,261430
The Movement Chronicles 2,4.16,17816,"Garrison, Donovan and Nelson Publications",Matthew Brooks,2022-10-12,180110
The Image Chronicles 1,4.32,6219,"Santiago, Jones and West Publications",Jerry Brown,2018-08-12,127670
The Type Chronicles 2,3.58,48709,Martin Inc Publications,Kenneth Rodriguez,2018-05-11,599698
The Individual Chronicles 5,2.93,8654,Pena LLC Publications,John Johnson,2019-04-04,112939
The Growth Chronicles 2,3.34,48654,Peters Group Publications,Michael Nash,2016-01-26,718378
The Just Chronicles 3,3.4,28577,"Reese, Tate and Mann Publications",Mary Smith,2016-06-20,217891
The Later Chronicles 5,4.13,6429,Chen-Campbell Publications,Dan Pham,2024-10-06,529262
The Heart Chronicles 1,4.82,35201,Smith Ltd Publications,Barbara Benson,2021-09-06,494389
The Too Chronicles 1,2.86,29129,Huber Group Publications,Kenneth Rodriguez,2021-01-12,232873
The Week Chronicles 4,3.85,4865,Sanders PLC Publications,Darius Jimenez,2016-12-06,955685
The North Chronicles 2,2.73,42479,Ferrell and Sons Publications,Tina Cowan,2024-10-13,838104
The Special Chronicles 4,4.46,20180,Matthews-Johnson Publications,Jennifer Brown,2024-01-09,324502
The Your Chronicles 2,4.87,36797,Walker-Parks Publications,Tina Torres,2025-10-05,954626
The Look Chronicles 1,2.96,49694,Moore LLC Publications,Dustin Barber,2016-01-19,880024
The Show Chronicles 5,3.88,31678,Ramos-Walker Publications,Dwayne Elliott,2016-01-18,639419
The Figure Chronicles 3,4.92,23797,Ramos-Walker Publications,Kenneth Rodriguez,2022-12-21,804692
The Response Chronicles 4,4.93,45442,Cruz PLC Publications,Jessica Martin,2019-09-11,260429
The Response Chronicles 3,3.18,36134,Taylor Inc Publications,Timothy Wells,2018-05-25,450345
